WARD_NAME,WARD_NO,date,mean
Chowdeswari Ward,2,01-10-2018,5.37E-05
Atturu,3,01-10-2018,5.12E-05
Yelahanka Satellite Town,4,01-10-2018,7.22E-05
Vijnanapura,51,01-10-2018,1.67E-05
Basavanapura,53,01-10-2018,4E-05
Hudi,54,01-10-2018,4.61E-05
Devasandra,55,01-10-2018,-7.55E-06
A Narayanapura,56,01-10-2018,1.81E-05
Vijnana Nagar,81,01-10-2018,1.59E-05
HAL Airport,87,01-10-2018,4.15E-05
Dodda Bommasandra,10,01-10-2018,0.000139
Kuvempu Nagar,11,01-10-2018,8.84E-05
Jakkuru,5,01-10-2018,8.54E-05
Thanisandra,6,01-10-2018,0.000116
Byatarayanapura,7,01-10-2018,9.48E-05
Kodigehalli,8,01-10-2018,0.000128
Vidyaranyapura,9,01-10-2018,9.46E-05
Ullalu,130,01-10-2018,5.42E-05
Kengeri,159,01-10-2018,3.12E-05
Dodda Bidarakallu,40,01-10-2018,7.88E-05
Herohalli,72,01-10-2018,4.81E-05
Jalahalli,16,01-10-2018,9.69E-05
Rajarajeshwari Nagar,160,01-10-2018,9.57E-05
J P Park,17,01-10-2018,0.000103
Yeshwanthpura,37,01-10-2018,0.000106
HMT Ward,38,01-10-2018,8.5E-05
Lakshmi Devi Nagar,42,01-10-2018,9.62E-05
Laggere,69,01-10-2018,9.71E-05
Kottegepalya,73,01-10-2018,9.18E-05
Shettihalli,12,01-10-2018,5.41E-05
Mallasandra,13,01-10-2018,8.63E-05
Bagalakunte,14,01-10-2018,5.74E-05
T Dasarahalli,15,01-10-2018,9.46E-05
Chokkasandra,39,01-10-2018,9.74E-05
Peenya Industrial Area,41,01-10-2018,9.26E-05
Rajagopal Nagar,70,01-10-2018,8.44E-05
Hegganahalli,71,01-10-2018,7.14E-05
Vrisabhavathi Nagar,102,01-10-2018,0.000108
Nandini Layout,43,01-10-2018,8.85E-05
Marappana Palya,44,01-10-2018,8.55E-05
Nagapura,67,01-10-2018,7.33E-05
Mahalakshimpuram,68,01-10-2018,7.12E-05
Shakthi Ganapathi Nagar,74,01-10-2018,0.000105
Shankar Matt,75,01-10-2018,8.91E-05
Aramane Nagara,35,01-10-2018,0.000155
Mattikere,36,01-10-2018,0.000129
Malleswaram,45,01-10-2018,0.000116
Rajamahal Guttahalli,64,01-10-2018,0.000157
Kadu Malleshwar Ward,65,01-10-2018,0.000134
Subramanya Nagar,66,01-10-2018,8.84E-05
Gayithri Nagar,76,01-10-2018,0.000105
Radhakrishna Temple Ward,18,01-10-2018,0.000154
Sanjaya Nagar,19,01-10-2018,0.000145
Ganga Nagar,20,01-10-2018,0.000148
Hebbala,21,01-10-2018,0.000128
Vishwanath Nagenahalli,22,01-10-2018,0.000118
Manorayanapalya,33,01-10-2018,0.00012
Gangenahalli,34,01-10-2018,0.00015
Jayachamarajendra Nagar,46,01-10-2018,0.000117
Kushal Nagar,31,01-10-2018,0.000117
Kaval Bairasandra,32,01-10-2018,0.000119
Devara Jeevanahalli,47,01-10-2018,0.000107
Muneshwara Nagar,48,01-10-2018,0.000122
Sagayarapuram,60,01-10-2018,9.1E-05
S K Garden,61,01-10-2018,9.25E-05
Pulikeshinagar,78,01-10-2018,6.76E-05
Nagavara,23,01-10-2018,0.000125
Pattabhiram Nagar,168,01-10-2018,0.000153
Byrasandra,169,01-10-2018,0.000162
Shakambari Nagar,179,01-10-2018,0.000165
Varthuru,149,01-10-2018,6.81E-05
Bellanduru,150,01-10-2018,8.89E-05
Garudachar Playa,82,01-10-2018,1.02E-05
Kadugodi,83,01-10-2018,3.98E-05
Hagadur,84,01-10-2018,5.73E-05
Dodda Nekkundi,85,01-10-2018,1.63E-05
HSR Layout,174,01-10-2018,8.32E-05
Bommanahalli,175,01-10-2018,0.000107
Jaraganahalli,186,01-10-2018,0.000153
Puttenahalli,187,01-10-2018,0.00013
Bilekhalli,188,01-10-2018,0.00011
Hongasandra,189,01-10-2018,0.000109
Mangammanapalya,190,01-10-2018,9.72E-05
Singasandra,191,01-10-2018,5.74E-05
Arakere,193,01-10-2018,6.8E-05
Uttarahalli,184,01-10-2018,0.000104
Yelchenahalli,185,01-10-2018,0.000164
Begur,192,01-10-2018,4.13E-05
Gottigere,194,01-10-2018,3.97E-05
Konankunte,195,01-10-2018,0.00011
Anjanapura,196,01-10-2018,4.35E-05
Kempegowda Ward,1,01-10-2018,6.19E-05
K R Puram,52,01-10-2018,1.35E-05
Jnana Bharathi ward,129,01-10-2018,7.43E-05
Jayanagar East,170,01-10-2018,0.00014
Gurappanapalya,171,01-10-2018,0.000127
Chikkalsandra,183,01-10-2018,0.000162
Vasanthpura,197,01-10-2018,0.000131
J P Nagar,177,01-10-2018,0.000128
Madivala,172,01-10-2018,0.000117
Ramamurthy Nagar,26,01-10-2018,5.28E-05
Horamavu,25,01-10-2018,0.000106
Marathahalli,86,01-10-2018,6.11E-05
Hemmigepura,198,01-10-2018,4.96E-05
HBR Layout,24,01-10-2018,0.000121
Banasavadi,27,01-10-2018,8.37E-05
Kammanahalli,28,01-10-2018,8.63E-05
Kacharkanahalli,29,01-10-2018,0.000112
Kadugondanahalli,30,01-10-2018,0.000119
Lingarajapura,49,01-10-2018,0.000104
Maruthi Seva Nagar,59,01-10-2018,5.52E-05
Konena Agrahara,113,01-10-2018,5.62E-07
Benniganahalli,50,01-10-2018,4.43E-05
C V Raman Nagar,57,01-10-2018,3.38E-05
New Tippasandara,58,01-10-2018,1.8E-05
Sarvagna Nagar,79,01-10-2018,4.97E-05
Hoysala Nagar,80,01-10-2018,2.98E-05
Jeevanbhima Nagar,88,01-10-2018,3.4E-06
Sampangiram Nagar,110,01-10-2018,0.000112
Ramaswamy Palya,62,01-10-2018,0.000106
Jayamahal,63,01-10-2018,0.000102
Halsoor,90,01-10-2018,6.19E-05
Bharathi Nagar,91,01-10-2018,7.7E-05
Shivaji Nagar,92,01-10-2018,6.78E-05
Vasanth Nagar,93,01-10-2018,0.00013
Shantala Nagar,111,01-10-2018,8.01E-05
Domlur,112,01-10-2018,6.91E-06
Agaram,114,01-10-2018,3.84E-05
Vannarpet,115,01-10-2018,5.32E-05
Nilasandra,116,01-10-2018,7.65E-05
Shanthi Nagar,117,01-10-2018,9.33E-05
Jogupalya,89,01-10-2018,2.29E-05
Chickpete,109,01-10-2018,0.000124
Cottonpete,120,01-10-2018,0.000117
Binnipete,121,01-10-2018,0.000112
Dattatreya Temple,77,01-10-2018,0.000139
Gandhinagar,94,01-10-2018,0.00013
Subhash Nagar,95,01-10-2018,0.00012
Okalipuram,96,01-10-2018,0.000113
Basaveshwara Nagar,100,01-10-2018,0.000104
Kamakshipalya,101,01-10-2018,0.000109
Shivanagara,107,01-10-2018,0.000107
Sriramamandir,108,01-10-2018,0.000116
Dayananda Nagar,97,01-10-2018,0.000121
Prakash Nagar,98,01-10-2018,9.9E-05
Rajaji Nagar,99,01-10-2018,9.18E-05
Kaveripura,103,01-10-2018,0.000117
Govindaraja Nagar,104,01-10-2018,0.000129
Agrahara Dasarahalli,105,01-10-2018,0.000119
Dr. Raj Kumar Ward,106,01-10-2018,0.00012
Marenahalli,125,01-10-2018,0.000131
Maruthi Mandir ward,126,01-10-2018,0.000124
Mudalapalya,127,01-10-2018,0.000118
Nagarabhavi,128,01-10-2018,0.000121
Nayandahalli,131,01-10-2018,0.000124
Kempapura Agrahara,122,01-10-2018,0.000119
Vijayanagar,123,01-10-2018,0.000121
Hosahalli,124,01-10-2018,0.000115
Attiguppe,132,01-10-2018,0.000123
Hampi Nagar,133,01-10-2018,0.000116
Bapuji Nagar,134,01-10-2018,0.000112
Gali Anjenaya Temple ward,157,01-10-2018,0.000139
Deepanjali Nagar,158,01-10-2018,0.000144
Padarayanapura,135,01-10-2018,0.000112
Jagajivanaramnagar,136,01-10-2018,0.00011
Rayapuram,137,01-10-2018,0.000112
Chalavadipalya,138,01-10-2018,0.000117
K R Market,139,01-10-2018,0.000122
Chamrajapet,140,01-10-2018,0.000117
Azad Nagar,141,01-10-2018,0.000125
Sudham Nagara,118,01-10-2018,0.000109
Dharmaraya Swamy Temple,119,01-10-2018,0.000118
Sunkenahalli,142,01-10-2018,0.000146
Vishveshwara Puram,143,01-10-2018,0.000124
Siddapura,144,01-10-2018,0.000145
Hombegowda Nagara,145,01-10-2018,0.000125
Jayanagar,153,01-10-2018,0.000159
Hanumanth Nagar,155,01-10-2018,0.000146
Srinagar,156,01-10-2018,0.000158
Basavanagudi,154,01-10-2018,0.000156
Girinagar,162,01-10-2018,0.000164
Katriguppe,163,01-10-2018,0.000162
Vidyapeeta ward,164,01-10-2018,0.000164
Hosakerehalli,161,01-10-2018,0.000147
Ganesh Mandir ward,165,01-10-2018,0.000175
Karisandra,166,01-10-2018,0.000164
Yediyur,167,01-10-2018,0.000159
Banashankari Temple ward,180,01-10-2018,0.000158
Kumaraswamy Layout,181,01-10-2018,0.000173
Padmanabha Nagar,182,01-10-2018,0.000175
Lakkasandra,146,01-10-2018,0.000136
Adugodi,147,01-10-2018,0.0001
Ejipura,148,01-10-2018,6.62E-05
Koramangala,151,01-10-2018,0.000114
Suddagunte Palya,152,01-10-2018,0.000132
Sarakki,178,01-10-2018,0.000157
Jakkasandra,173,01-10-2018,0.000103
BTM Layout,176,01-10-2018,0.000109
Chowdeswari Ward,2,01-01-2019,4.77E-05
Atturu,3,01-01-2019,5.37E-05
Yelahanka Satellite Town,4,01-01-2019,7.72E-05
Vijnanapura,51,01-01-2019,3.96E-05
Basavanapura,53,01-01-2019,8.25E-05
Hudi,54,01-01-2019,8.01E-05
Devasandra,55,01-01-2019,2.15E-05
A Narayanapura,56,01-01-2019,7.11E-05
Vijnana Nagar,81,01-01-2019,5.43E-05
HAL Airport,87,01-01-2019,6.91E-05
Dodda Bommasandra,10,01-01-2019,6.15E-05
Kuvempu Nagar,11,01-01-2019,3.16E-05
Jakkuru,5,01-01-2019,3.54E-05
Thanisandra,6,01-01-2019,4.81E-05
Byatarayanapura,7,01-01-2019,6.66E-05
Kodigehalli,8,01-01-2019,8.42E-05
Vidyaranyapura,9,01-01-2019,8.26E-05
Ullalu,130,01-01-2019,3.66E-05
Kengeri,159,01-01-2019,2.01E-05
Dodda Bidarakallu,40,01-01-2019,4.84E-05
Herohalli,72,01-01-2019,6.41E-05
Jalahalli,16,01-01-2019,3.35E-05
Rajarajeshwari Nagar,160,01-01-2019,3.52E-05
J P Park,17,01-01-2019,5.07E-05
Yeshwanthpura,37,01-01-2019,6.79E-05
HMT Ward,38,01-01-2019,4.82E-05
Lakshmi Devi Nagar,42,01-01-2019,6.82E-05
Laggere,69,01-01-2019,7.02E-05
Kottegepalya,73,01-01-2019,6.03E-05
Shettihalli,12,01-01-2019,2.53E-05
Mallasandra,13,01-01-2019,2.36E-05
Bagalakunte,14,01-01-2019,1.27E-05
T Dasarahalli,15,01-01-2019,1.95E-05
Chokkasandra,39,01-01-2019,2.1E-05
Peenya Industrial Area,41,01-01-2019,4.93E-05
Rajagopal Nagar,70,01-01-2019,6.36E-05
Hegganahalli,71,01-01-2019,6.66E-05
Vrisabhavathi Nagar,102,01-01-2019,7.37E-05
Nandini Layout,43,01-01-2019,7.17E-05
Marappana Palya,44,01-01-2019,7.49E-05
Nagapura,67,01-01-2019,7.47E-05
Mahalakshimpuram,68,01-01-2019,7.49E-05
Shakthi Ganapathi Nagar,74,01-01-2019,6.82E-05
Shankar Matt,75,01-01-2019,7.08E-05
Aramane Nagara,35,01-01-2019,9.45E-05
Mattikere,36,01-01-2019,7.98E-05
Malleswaram,45,01-01-2019,7.93E-05
Rajamahal Guttahalli,64,01-01-2019,0.000117
Kadu Malleshwar Ward,65,01-01-2019,0.000112
Subramanya Nagar,66,01-01-2019,6.46E-05
Gayithri Nagar,76,01-01-2019,9.8E-05
Radhakrishna Temple Ward,18,01-01-2019,8.85E-05
Sanjaya Nagar,19,01-01-2019,8.03E-05
Ganga Nagar,20,01-01-2019,7.82E-05
Hebbala,21,01-01-2019,6.34E-05
Vishwanath Nagenahalli,22,01-01-2019,6.43E-05
Manorayanapalya,33,01-01-2019,5.61E-05
Gangenahalli,34,01-01-2019,8.08E-05
Jayachamarajendra Nagar,46,01-01-2019,6.57E-05
Kushal Nagar,31,01-01-2019,8.19E-05
Kaval Bairasandra,32,01-01-2019,7.47E-05
Devara Jeevanahalli,47,01-01-2019,6.8E-05
Muneshwara Nagar,48,01-01-2019,7.52E-05
Sagayarapuram,60,01-01-2019,5.5E-05
S K Garden,61,01-01-2019,5.11E-05
Pulikeshinagar,78,01-01-2019,4.63E-05
Nagavara,23,01-01-2019,9.08E-05
Pattabhiram Nagar,168,01-01-2019,0.000107
Byrasandra,169,01-01-2019,0.000101
Shakambari Nagar,179,01-01-2019,0.000111
Varthuru,149,01-01-2019,4.74E-05
Bellanduru,150,01-01-2019,7.06E-05
Garudachar Playa,82,01-01-2019,6.54E-05
Kadugodi,83,01-01-2019,7.92E-05
Hagadur,84,01-01-2019,6.46E-05
Dodda Nekkundi,85,01-01-2019,4.37E-05
HSR Layout,174,01-01-2019,3.88E-05
Bommanahalli,175,01-01-2019,8.19E-05
Jaraganahalli,186,01-01-2019,0.000103
Puttenahalli,187,01-01-2019,9.2E-05
Bilekhalli,188,01-01-2019,8.3E-05
Hongasandra,189,01-01-2019,6.82E-05
Mangammanapalya,190,01-01-2019,5.29E-05
Singasandra,191,01-01-2019,5.11E-05
Arakere,193,01-01-2019,7.43E-05
Uttarahalli,184,01-01-2019,5.42E-05
Yelchenahalli,185,01-01-2019,0.000105
Begur,192,01-01-2019,6.08E-05
Gottigere,194,01-01-2019,7.03E-05
Konankunte,195,01-01-2019,8.37E-05
Anjanapura,196,01-01-2019,6.42E-05
Kempegowda Ward,1,01-01-2019,4.9E-05
K R Puram,52,01-01-2019,4.81E-05
Jnana Bharathi ward,129,01-01-2019,4.4E-05
Jayanagar East,170,01-01-2019,0.000118
Gurappanapalya,171,01-01-2019,0.000111
Chikkalsandra,183,01-01-2019,8.07E-05
Vasanthpura,197,01-01-2019,6.53E-05
J P Nagar,177,01-01-2019,0.000108
Madivala,172,01-01-2019,0.000102
Ramamurthy Nagar,26,01-01-2019,7.78E-05
Horamavu,25,01-01-2019,4.5E-05
Marathahalli,86,01-01-2019,7.13E-05
Hemmigepura,198,01-01-2019,3.17E-05
HBR Layout,24,01-01-2019,7.74E-05
Banasavadi,27,01-01-2019,5.59E-05
Kammanahalli,28,01-01-2019,6.3E-05
Kacharkanahalli,29,01-01-2019,7.87E-05
Kadugondanahalli,30,01-01-2019,8.71E-05
Lingarajapura,49,01-01-2019,7.48E-05
Maruthi Seva Nagar,59,01-01-2019,5.31E-05
Konena Agrahara,113,01-01-2019,3.15E-05
Benniganahalli,50,01-01-2019,6.57E-05
C V Raman Nagar,57,01-01-2019,8.21E-05
New Tippasandara,58,01-01-2019,6.94E-05
Sarvagna Nagar,79,01-01-2019,6.04E-05
Hoysala Nagar,80,01-01-2019,5.91E-05
Jeevanbhima Nagar,88,01-01-2019,3.52E-05
Sampangiram Nagar,110,01-01-2019,9.56E-05
Ramaswamy Palya,62,01-01-2019,7.05E-05
Jayamahal,63,01-01-2019,6.88E-05
Halsoor,90,01-01-2019,6.86E-05
Bharathi Nagar,91,01-01-2019,6.38E-05
Shivaji Nagar,92,01-01-2019,5.63E-05
Vasanth Nagar,93,01-01-2019,8.75E-05
Shantala Nagar,111,01-01-2019,9.36E-05
Domlur,112,01-01-2019,1.64E-05
Agaram,114,01-01-2019,2.77E-05
Vannarpet,115,01-01-2019,6.77E-05
Nilasandra,116,01-01-2019,8.57E-05
Shanthi Nagar,117,01-01-2019,9.54E-05
Jogupalya,89,01-01-2019,3.96E-05
Chickpete,109,01-01-2019,0.0001
Cottonpete,120,01-01-2019,8.45E-05
Binnipete,121,01-01-2019,8.75E-05
Dattatreya Temple,77,01-01-2019,0.00012
Gandhinagar,94,01-01-2019,0.000101
Subhash Nagar,95,01-01-2019,9.02E-05
Okalipuram,96,01-01-2019,8.88E-05
Basaveshwara Nagar,100,01-01-2019,8.58E-05
Kamakshipalya,101,01-01-2019,6.66E-05
Shivanagara,107,01-01-2019,9.26E-05
Sriramamandir,108,01-01-2019,8.7E-05
Dayananda Nagar,97,01-01-2019,0.000102
Prakash Nagar,98,01-01-2019,8.74E-05
Rajaji Nagar,99,01-01-2019,8.88E-05
Kaveripura,103,01-01-2019,6.17E-05
Govindaraja Nagar,104,01-01-2019,6.47E-05
Agrahara Dasarahalli,105,01-01-2019,6.61E-05
Dr. Raj Kumar Ward,106,01-01-2019,7.96E-05
Marenahalli,125,01-01-2019,7.29E-05
Maruthi Mandir ward,126,01-01-2019,5.63E-05
Mudalapalya,127,01-01-2019,5.51E-05
Nagarabhavi,128,01-01-2019,3.9E-05
Nayandahalli,131,01-01-2019,4.28E-05
Kempapura Agrahara,122,01-01-2019,8.89E-05
Vijayanagar,123,01-01-2019,7.5E-05
Hosahalli,124,01-01-2019,6.57E-05
Attiguppe,132,01-01-2019,5.55E-05
Hampi Nagar,133,01-01-2019,6.59E-05
Bapuji Nagar,134,01-01-2019,6.09E-05
Gali Anjenaya Temple ward,157,01-01-2019,7.39E-05
Deepanjali Nagar,158,01-01-2019,6.81E-05
Padarayanapura,135,01-01-2019,7.69E-05
Jagajivanaramnagar,136,01-01-2019,7.79E-05
Rayapuram,137,01-01-2019,8.97E-05
Chalavadipalya,138,01-01-2019,8.71E-05
K R Market,139,01-01-2019,8.98E-05
Chamrajapet,140,01-01-2019,8.14E-05
Azad Nagar,141,01-01-2019,8.17E-05
Sudham Nagara,118,01-01-2019,0.000101
Dharmaraya Swamy Temple,119,01-01-2019,9.81E-05
Sunkenahalli,142,01-01-2019,9.99E-05
Vishveshwara Puram,143,01-01-2019,9.57E-05
Siddapura,144,01-01-2019,9.97E-05
Hombegowda Nagara,145,01-01-2019,0.000102
Jayanagar,153,01-01-2019,9.98E-05
Hanumanth Nagar,155,01-01-2019,9.33E-05
Srinagar,156,01-01-2019,8.28E-05
Basavanagudi,154,01-01-2019,9.58E-05
Girinagar,162,01-01-2019,6.95E-05
Katriguppe,163,01-01-2019,7.41E-05
Vidyapeeta ward,164,01-01-2019,9.18E-05
Hosakerehalli,161,01-01-2019,6.6E-05
Ganesh Mandir ward,165,01-01-2019,0.000103
Karisandra,166,01-01-2019,9.41E-05
Yediyur,167,01-01-2019,8.24E-05
Banashankari Temple ward,180,01-01-2019,0.000107
Kumaraswamy Layout,181,01-01-2019,9.92E-05
Padmanabha Nagar,182,01-01-2019,9.03E-05
Lakkasandra,146,01-01-2019,0.0001
Adugodi,147,01-01-2019,9.33E-05
Ejipura,148,01-01-2019,6.07E-05
Koramangala,151,01-01-2019,8.74E-05
Suddagunte Palya,152,01-01-2019,0.000105
Sarakki,178,01-01-2019,0.000114
Jakkasandra,173,01-01-2019,6.46E-05
BTM Layout,176,01-01-2019,9.34E-05
Chowdeswari Ward,2,01-04-2019,4.28E-05
Atturu,3,01-04-2019,3.58E-05
Yelahanka Satellite Town,4,01-04-2019,3.84E-05
Vijnanapura,51,01-04-2019,-1.73E-05
Basavanapura,53,01-04-2019,-6.85E-06
Hudi,54,01-04-2019,3.24E-05
Devasandra,55,01-04-2019,-3.19E-06
A Narayanapura,56,01-04-2019,-3.24E-06
Vijnana Nagar,81,01-04-2019,8.29E-06
HAL Airport,87,01-04-2019,1.69E-05
Dodda Bommasandra,10,01-04-2019,2.83E-05
Kuvempu Nagar,11,01-04-2019,2.39E-05
Jakkuru,5,01-04-2019,1.38E-05
Thanisandra,6,01-04-2019,-9.67E-06
Byatarayanapura,7,01-04-2019,4.1E-05
Kodigehalli,8,01-04-2019,5.29E-05
Vidyaranyapura,9,01-04-2019,3.34E-05
Ullalu,130,01-04-2019,3.11E-05
Kengeri,159,01-04-2019,5.14E-05
Dodda Bidarakallu,40,01-04-2019,1.58E-05
Herohalli,72,01-04-2019,-6.25E-06
Jalahalli,16,01-04-2019,2.43E-05
Rajarajeshwari Nagar,160,01-04-2019,4.34E-05
J P Park,17,01-04-2019,3.09E-05
Yeshwanthpura,37,01-04-2019,2.89E-05
HMT Ward,38,01-04-2019,1.8E-05
Lakshmi Devi Nagar,42,01-04-2019,2.34E-05
Laggere,69,01-04-2019,2.49E-05
Kottegepalya,73,01-04-2019,1.87E-05
Shettihalli,12,01-04-2019,1.28E-05
Mallasandra,13,01-04-2019,3.04E-05
Bagalakunte,14,01-04-2019,4.79E-05
T Dasarahalli,15,01-04-2019,2.22E-05
Chokkasandra,39,01-04-2019,3.74E-05
Peenya Industrial Area,41,01-04-2019,3.21E-05
Rajagopal Nagar,70,01-04-2019,3.48E-05
Hegganahalli,71,01-04-2019,2.43E-05
Vrisabhavathi Nagar,102,01-04-2019,1.31E-05
Nandini Layout,43,01-04-2019,2.13E-05
Marappana Palya,44,01-04-2019,2.5E-05
Nagapura,67,01-04-2019,2.52E-05
Mahalakshimpuram,68,01-04-2019,3.08E-05
Shakthi Ganapathi Nagar,74,01-04-2019,2.03E-05
Shankar Matt,75,01-04-2019,2.25E-05
Aramane Nagara,35,01-04-2019,3.87E-05
Mattikere,36,01-04-2019,3.95E-05
Malleswaram,45,01-04-2019,2.57E-05
Rajamahal Guttahalli,64,01-04-2019,4.09E-05
Kadu Malleshwar Ward,65,01-04-2019,3.56E-05
Subramanya Nagar,66,01-04-2019,1.67E-05
Gayithri Nagar,76,01-04-2019,3.05E-05
Radhakrishna Temple Ward,18,01-04-2019,5.4E-05
Sanjaya Nagar,19,01-04-2019,5.3E-05
Ganga Nagar,20,01-04-2019,4.67E-05
Hebbala,21,01-04-2019,4.32E-05
Vishwanath Nagenahalli,22,01-04-2019,4.86E-05
Manorayanapalya,33,01-04-2019,4.16E-05
Gangenahalli,34,01-04-2019,3.01E-05
Jayachamarajendra Nagar,46,01-04-2019,3.34E-05
Kushal Nagar,31,01-04-2019,2.17E-05
Kaval Bairasandra,32,01-04-2019,4.1E-05
Devara Jeevanahalli,47,01-04-2019,3.95E-05
Muneshwara Nagar,48,01-04-2019,3.31E-05
Sagayarapuram,60,01-04-2019,1.59E-05
S K Garden,61,01-04-2019,2.57E-05
Pulikeshinagar,78,01-04-2019,2.77E-06
Nagavara,23,01-04-2019,1.5E-05
Pattabhiram Nagar,168,01-04-2019,-3.15E-05
Byrasandra,169,01-04-2019,-3.35E-05
Shakambari Nagar,179,01-04-2019,-2.73E-05
Varthuru,149,01-04-2019,4.42E-05
Bellanduru,150,01-04-2019,3.43E-05
Garudachar Playa,82,01-04-2019,4.66E-05
Kadugodi,83,01-04-2019,6.8E-05
Hagadur,84,01-04-2019,5.48E-05
Dodda Nekkundi,85,01-04-2019,4.34E-05
HSR Layout,174,01-04-2019,3.88E-06
Bommanahalli,175,01-04-2019,-1.37E-05
Jaraganahalli,186,01-04-2019,1.39E-06
Puttenahalli,187,01-04-2019,1.67E-05
Bilekhalli,188,01-04-2019,-8.11E-06
Hongasandra,189,01-04-2019,-1.5E-05
Mangammanapalya,190,01-04-2019,4.57E-06
Singasandra,191,01-04-2019,2.75E-05
Arakere,193,01-04-2019,4.12E-05
Uttarahalli,184,01-04-2019,1.1E-05
Yelchenahalli,185,01-04-2019,6.28E-06
Begur,192,01-04-2019,2.88E-05
Gottigere,194,01-04-2019,7.11E-05
Konankunte,195,01-04-2019,4.74E-05
Anjanapura,196,01-04-2019,6.23E-05
Kempegowda Ward,1,01-04-2019,4.01E-05
K R Puram,52,01-04-2019,-2.59E-05
Jnana Bharathi ward,129,01-04-2019,1.35E-05
Jayanagar East,170,01-04-2019,-2.11E-05
Gurappanapalya,171,01-04-2019,-1.8E-05
Chikkalsandra,183,01-04-2019,2.68E-05
Vasanthpura,197,01-04-2019,2.36E-05
J P Nagar,177,01-04-2019,-1.72E-05
Madivala,172,01-04-2019,-1.04E-05
Ramamurthy Nagar,26,01-04-2019,-6.79E-06
Horamavu,25,01-04-2019,-6.4E-06
Marathahalli,86,01-04-2019,3.29E-05
Hemmigepura,198,01-04-2019,3.16E-05
HBR Layout,24,01-04-2019,-2.34E-06
Banasavadi,27,01-04-2019,-2.58E-05
Kammanahalli,28,01-04-2019,-2.56E-05
Kacharkanahalli,29,01-04-2019,-5.56E-06
Kadugondanahalli,30,01-04-2019,2.02E-05
Lingarajapura,49,01-04-2019,7.88E-06
Maruthi Seva Nagar,59,01-04-2019,-9.3E-06
Konena Agrahara,113,01-04-2019,2.64E-07
Benniganahalli,50,01-04-2019,-1.98E-05
C V Raman Nagar,57,01-04-2019,-2.87E-06
New Tippasandara,58,01-04-2019,-8.44E-06
Sarvagna Nagar,79,01-04-2019,6.16E-06
Hoysala Nagar,80,01-04-2019,1.09E-05
Jeevanbhima Nagar,88,01-04-2019,-2.29E-06
Sampangiram Nagar,110,01-04-2019,1.32E-05
Ramaswamy Palya,62,01-04-2019,3.56E-05
Jayamahal,63,01-04-2019,1.1E-05
Halsoor,90,01-04-2019,1.7E-05
Bharathi Nagar,91,01-04-2019,1.06E-05
Shivaji Nagar,92,01-04-2019,-1.92E-06
Vasanth Nagar,93,01-04-2019,1.03E-05
Shantala Nagar,111,01-04-2019,2.44E-05
Domlur,112,01-04-2019,1.31E-05
Agaram,114,01-04-2019,1.39E-05
Vannarpet,115,01-04-2019,1.35E-05
Nilasandra,116,01-04-2019,1.24E-05
Shanthi Nagar,117,01-04-2019,1.62E-05
Jogupalya,89,01-04-2019,1.83E-05
Chickpete,109,01-04-2019,-3.54E-06
Cottonpete,120,01-04-2019,-4.28E-06
Binnipete,121,01-04-2019,1.57E-05
Dattatreya Temple,77,01-04-2019,3.49E-05
