WARD_NAME,WARD_NO,date,mean
Gandhinagar,94,01-04-2019,8.39E-06
Subhash Nagar,95,01-04-2019,3.25E-06
Okalipuram,96,01-04-2019,1.6E-05
Basaveshwara Nagar,100,01-04-2019,3.03E-05
Kamakshipalya,101,01-04-2019,1.7E-05
Shivanagara,107,01-04-2019,3.24E-05
Sriramamandir,108,01-04-2019,2.76E-05
Dayananda Nagar,97,01-04-2019,2.46E-05
Prakash Nagar,98,01-04-2019,2.89E-05
Rajaji Nagar,99,01-04-2019,2.98E-05
Kaveripura,103,01-04-2019,1.64E-05
Govindaraja Nagar,104,01-04-2019,1.71E-05
Agrahara Dasarahalli,105,01-04-2019,2.04E-05
Dr. Raj Kumar Ward,106,01-04-2019,1.98E-05
Marenahalli,125,01-04-2019,3.25E-05
Maruthi Mandir ward,126,01-04-2019,3.55E-05
Mudalapalya,127,01-04-2019,3.93E-05
Nagarabhavi,128,01-04-2019,5.92E-05
Nayandahalli,131,01-04-2019,4.38E-05
Kempapura Agrahara,122,01-04-2019,1.74E-05
Vijayanagar,123,01-04-2019,1.8E-05
Hosahalli,124,01-04-2019,2.14E-05
Attiguppe,132,01-04-2019,5.78E-05
Hampi Nagar,133,01-04-2019,4.46E-05
Bapuji Nagar,134,01-04-2019,3.93E-05
Gali Anjenaya Temple ward,157,01-04-2019,2.41E-05
Deepanjali Nagar,158,01-04-2019,4.21E-05
Padarayanapura,135,01-04-2019,2.13E-05
Jagajivanaramnagar,136,01-04-2019,1.63E-05
Rayapuram,137,01-04-2019,1.34E-05
Chalavadipalya,138,01-04-2019,-4.17E-06
K R Market,139,01-04-2019,-6.3E-06
Chamrajapet,140,01-04-2019,-1.84E-06
Azad Nagar,141,01-04-2019,1.14E-05
Sudham Nagara,118,01-04-2019,-3.05E-06
Dharmaraya Swamy Temple,119,01-04-2019,-1.12E-05
Sunkenahalli,142,01-04-2019,-1.21E-05
Vishveshwara Puram,143,01-04-2019,-2.47E-05
Siddapura,144,01-04-2019,-1.96E-05
Hombegowda Nagara,145,01-04-2019,-2.82E-06
Jayanagar,153,01-04-2019,-2.79E-05
Hanumanth Nagar,155,01-04-2019,-4.08E-06
Srinagar,156,01-04-2019,-3.71E-06
Basavanagudi,154,01-04-2019,-2.16E-05
Girinagar,162,01-04-2019,2.49E-05
Katriguppe,163,01-04-2019,7.36E-06
Vidyapeeta ward,164,01-04-2019,-1.06E-06
Hosakerehalli,161,01-04-2019,4.88E-05
Ganesh Mandir ward,165,01-04-2019,8.84E-07
Karisandra,166,01-04-2019,-1.93E-05
Yediyur,167,01-04-2019,-4.22E-05
Banashankari Temple ward,180,01-04-2019,-5.33E-06
Kumaraswamy Layout,181,01-04-2019,-1.09E-06
Padmanabha Nagar,182,01-04-2019,1.41E-05
Lakkasandra,146,01-04-2019,-6.09E-06
Adugodi,147,01-04-2019,-2.13E-06
Ejipura,148,01-04-2019,5.48E-06
Koramangala,151,01-04-2019,8.86E-06
Suddagunte Palya,152,01-04-2019,-9.51E-06
Sarakki,178,01-04-2019,-1.57E-05
Jakkasandra,173,01-04-2019,-4.12E-06
BTM Layout,176,01-04-2019,-1.96E-05
Chowdeswari Ward,2,01-07-2019,-4.51E-05
Atturu,3,01-07-2019,-3.18E-05
Yelahanka Satellite Town,4,01-07-2019,-1.74E-05
Vijnanapura,51,01-07-2019,-7.91E-06
Basavanapura,53,01-07-2019,-5.56E-05
Hudi,54,01-07-2019,-4.73E-05
Devasandra,55,01-07-2019,-2.49E-05
A Narayanapura,56,01-07-2019,-8.94E-06
Vijnana Nagar,81,01-07-2019,-3.04E-05
HAL Airport,87,01-07-2019,-3.27E-05
Dodda Bommasandra,10,01-07-2019,-3.07E-05
Kuvempu Nagar,11,01-07-2019,-2.96E-05
Jakkuru,5,01-07-2019,-4.07E-05
Thanisandra,6,01-07-2019,-3.36E-05
Byatarayanapura,7,01-07-2019,-3.58E-05
Kodigehalli,8,01-07-2019,-4.05E-05
Vidyaranyapura,9,01-07-2019,-3.25E-05
Ullalu,130,01-07-2019,1.49E-05
Kengeri,159,01-07-2019,4.63E-05
Dodda Bidarakallu,40,01-07-2019,-6.46E-05
Herohalli,72,01-07-2019,-6.03E-05
Jalahalli,16,01-07-2019,-3.29E-05
Rajarajeshwari Nagar,160,01-07-2019,1.51E-05
J P Park,17,01-07-2019,-5.02E-05
Yeshwanthpura,37,01-07-2019,-6.09E-05
HMT Ward,38,01-07-2019,-4.49E-05
Lakshmi Devi Nagar,42,01-07-2019,-5.3E-05
Laggere,69,01-07-2019,-5.59E-05
Kottegepalya,73,01-07-2019,-5.88E-05
Shettihalli,12,01-07-2019,-1.57E-05
Mallasandra,13,01-07-2019,-4.41E-06
Bagalakunte,14,01-07-2019,3.24E-05
T Dasarahalli,15,01-07-2019,-2.51E-05
Chokkasandra,39,01-07-2019,-1.19E-05
Peenya Industrial Area,41,01-07-2019,-4.37E-05
Rajagopal Nagar,70,01-07-2019,-5.93E-05
Hegganahalli,71,01-07-2019,-6.91E-05
Vrisabhavathi Nagar,102,01-07-2019,-4.49E-05
Nandini Layout,43,01-07-2019,-5.97E-05
Marappana Palya,44,01-07-2019,-4.88E-05
Nagapura,67,01-07-2019,-3.14E-05
Mahalakshimpuram,68,01-07-2019,-4.12E-05
Shakthi Ganapathi Nagar,74,01-07-2019,-4.1E-05
Shankar Matt,75,01-07-2019,-5.01E-05
Aramane Nagara,35,01-07-2019,-5.74E-05
Mattikere,36,01-07-2019,-5.1E-05
Malleswaram,45,01-07-2019,-5.64E-05
Rajamahal Guttahalli,64,01-07-2019,-2.84E-05
Kadu Malleshwar Ward,65,01-07-2019,-3.74E-05
Subramanya Nagar,66,01-07-2019,-4.4E-05
Gayithri Nagar,76,01-07-2019,-2.55E-05
Radhakrishna Temple Ward,18,01-07-2019,-4.87E-05
Sanjaya Nagar,19,01-07-2019,-5.07E-05
Ganga Nagar,20,01-07-2019,-6.83E-05
Hebbala,21,01-07-2019,-6.4E-05
Vishwanath Nagenahalli,22,01-07-2019,-5.37E-05
Manorayanapalya,33,01-07-2019,-5.57E-05
Gangenahalli,34,01-07-2019,-7.04E-05
Jayachamarajendra Nagar,46,01-07-2019,-5.68E-05
Kushal Nagar,31,01-07-2019,-7.45E-05
Kaval Bairasandra,32,01-07-2019,-6.36E-05
Devara Jeevanahalli,47,01-07-2019,-6.08E-05
Muneshwara Nagar,48,01-07-2019,-7.11E-05
Sagayarapuram,60,01-07-2019,-8.3E-05
S K Garden,61,01-07-2019,-6.08E-05
Pulikeshinagar,78,01-07-2019,-5.13E-05
Nagavara,23,01-07-2019,-5.96E-05
Pattabhiram Nagar,168,01-07-2019,-1.97E-06
Byrasandra,169,01-07-2019,1.76E-06
Shakambari Nagar,179,01-07-2019,-5.33E-05
Varthuru,149,01-07-2019,-4.05E-05
Bellanduru,150,01-07-2019,-4.43E-05
Garudachar Playa,82,01-07-2019,-5.46E-05
Kadugodi,83,01-07-2019,-4.07E-05
Hagadur,84,01-07-2019,-4.59E-05
Dodda Nekkundi,85,01-07-2019,-5.43E-05
HSR Layout,174,01-07-2019,-2.93E-05
Bommanahalli,175,01-07-2019,-1.73E-05
Jaraganahalli,186,01-07-2019,-6.9E-05
Puttenahalli,187,01-07-2019,-5.09E-05
Bilekhalli,188,01-07-2019,-1.44E-05
Hongasandra,189,01-07-2019,-1.92E-05
Mangammanapalya,190,01-07-2019,-2.51E-05
Singasandra,191,01-07-2019,-6.74E-05
Arakere,193,01-07-2019,-3.35E-05
Uttarahalli,184,01-07-2019,-6E-05
Yelchenahalli,185,01-07-2019,-8.67E-05
Begur,192,01-07-2019,-6.84E-05
Gottigere,194,01-07-2019,-4.5E-05
Konankunte,195,01-07-2019,-5.45E-05
Anjanapura,196,01-07-2019,-4.07E-05
Kempegowda Ward,1,01-07-2019,-5.15E-05
K R Puram,52,01-07-2019,-6.45E-05
Jnana Bharathi ward,129,01-07-2019,-1.73E-05
Jayanagar East,170,01-07-2019,1.92E-05
Gurappanapalya,171,01-07-2019,2.55E-05
Chikkalsandra,183,01-07-2019,-5.52E-05
Vasanthpura,197,01-07-2019,-7.67E-05
J P Nagar,177,01-07-2019,-1.53E-05
Madivala,172,01-07-2019,3.51E-06
Ramamurthy Nagar,26,01-07-2019,-5.21E-05
Horamavu,25,01-07-2019,-5.28E-05
Marathahalli,86,01-07-2019,-5.55E-05
Hemmigepura,198,01-07-2019,1.25E-05
HBR Layout,24,01-07-2019,-7.48E-05
Banasavadi,27,01-07-2019,-6.12E-05
Kammanahalli,28,01-07-2019,-9.42E-05
Kacharkanahalli,29,01-07-2019,-8.75E-05
Kadugondanahalli,30,01-07-2019,-8.58E-05
Lingarajapura,49,01-07-2019,-9.58E-05
Maruthi Seva Nagar,59,01-07-2019,-6.74E-05
Konena Agrahara,113,01-07-2019,9.72E-06
Benniganahalli,50,01-07-2019,-2.44E-05
C V Raman Nagar,57,01-07-2019,-1.36E-05
New Tippasandara,58,01-07-2019,3.57E-06
Sarvagna Nagar,79,01-07-2019,-1.58E-05
Hoysala Nagar,80,01-07-2019,1.77E-05
Jeevanbhima Nagar,88,01-07-2019,3.25E-05
Sampangiram Nagar,110,01-07-2019,1.9E-05
Ramaswamy Palya,62,01-07-2019,-5.43E-05
Jayamahal,63,01-07-2019,-4.42E-05
Halsoor,90,01-07-2019,-4.75E-06
Bharathi Nagar,91,01-07-2019,-1.73E-05
Shivaji Nagar,92,01-07-2019,-2.48E-05
Vasanth Nagar,93,01-07-2019,-2.88E-05
Shantala Nagar,111,01-07-2019,4.71E-05
Domlur,112,01-07-2019,2.64E-05
Agaram,114,01-07-2019,1.13E-06
Vannarpet,115,01-07-2019,2.54E-05
Nilasandra,116,01-07-2019,2.86E-05
Shanthi Nagar,117,01-07-2019,4.13E-05
Jogupalya,89,01-07-2019,2.49E-05
Chickpete,109,01-07-2019,3.44E-05
Cottonpete,120,01-07-2019,3.15E-05
Binnipete,121,01-07-2019,1.59E-05
Dattatreya Temple,77,01-07-2019,-2.54E-05
Gandhinagar,94,01-07-2019,-4.27E-06
Subhash Nagar,95,01-07-2019,-1.06E-05
Okalipuram,96,01-07-2019,1.41E-05
Basaveshwara Nagar,100,01-07-2019,-2.72E-05
Kamakshipalya,101,01-07-2019,-3.31E-05
Shivanagara,107,01-07-2019,-1.02E-05
Sriramamandir,108,01-07-2019,3.53E-06
Dayananda Nagar,97,01-07-2019,-2.22E-05
Prakash Nagar,98,01-07-2019,-1.6E-05
Rajaji Nagar,99,01-07-2019,-1.92E-05
Kaveripura,103,01-07-2019,-4.57E-05
Govindaraja Nagar,104,01-07-2019,-3.2E-05
Agrahara Dasarahalli,105,01-07-2019,-2.09E-05
Dr. Raj Kumar Ward,106,01-07-2019,-1.22E-05
Marenahalli,125,01-07-2019,-2.38E-05
Maruthi Mandir ward,126,01-07-2019,-2.12E-05
Mudalapalya,127,01-07-2019,-3.39E-05
Nagarabhavi,128,01-07-2019,4.53E-06
Nayandahalli,131,01-07-2019,1.75E-05
Kempapura Agrahara,122,01-07-2019,4.95E-06
Vijayanagar,123,01-07-2019,-1.49E-05
Hosahalli,124,01-07-2019,-1.48E-05
Attiguppe,132,01-07-2019,5.31E-06
Hampi Nagar,133,01-07-2019,5.35E-06
Bapuji Nagar,134,01-07-2019,1.73E-06
Gali Anjenaya Temple ward,157,01-07-2019,-2.39E-05
Deepanjali Nagar,158,01-07-2019,-5.41E-06
Padarayanapura,135,01-07-2019,7.86E-06
Jagajivanaramnagar,136,01-07-2019,1.89E-05
Rayapuram,137,01-07-2019,1.79E-05
Chalavadipalya,138,01-07-2019,3.35E-05
K R Market,139,01-07-2019,5.49E-05
Chamrajapet,140,01-07-2019,1.81E-05
Azad Nagar,141,01-07-2019,-2.09E-05
Sudham Nagara,118,01-07-2019,7.76E-05
Dharmaraya Swamy Temple,119,01-07-2019,8.14E-05
Sunkenahalli,142,01-07-2019,-5.02E-06
Vishveshwara Puram,143,01-07-2019,4.37E-05
Siddapura,144,01-07-2019,3.37E-05
Hombegowda Nagara,145,01-07-2019,3.73E-05
Jayanagar,153,01-07-2019,2.35E-05
Hanumanth Nagar,155,01-07-2019,-2.84E-05
Srinagar,156,01-07-2019,-3.54E-05
Basavanagudi,154,01-07-2019,-4.36E-05
Girinagar,162,01-07-2019,-2.6E-05
Katriguppe,163,01-07-2019,-5.27E-05
Vidyapeeta ward,164,01-07-2019,-5.82E-05
Hosakerehalli,161,01-07-2019,-2.47E-05
Ganesh Mandir ward,165,01-07-2019,-7.99E-05
Karisandra,166,01-07-2019,-6.01E-05
Yediyur,167,01-07-2019,-3.48E-05
Banashankari Temple ward,180,01-07-2019,-7.59E-05
Kumaraswamy Layout,181,01-07-2019,-0.000101
Padmanabha Nagar,182,01-07-2019,-8.66E-05
Lakkasandra,146,01-07-2019,4.28E-05
Adugodi,147,01-07-2019,3.27E-05
Ejipura,148,01-07-2019,3.93E-06
Koramangala,151,01-07-2019,1.73E-05
Suddagunte Palya,152,01-07-2019,3.53E-05
Sarakki,178,01-07-2019,-4.48E-05
Jakkasandra,173,01-07-2019,-2.38E-05
BTM Layout,176,01-07-2019,-2.16E-06
Chowdeswari Ward,2,01-10-2019,6.99E-06
Atturu,3,01-10-2019,-3.37E-05
Yelahanka Satellite Town,4,01-10-2019,5.67E-06
Vijnanapura,51,01-10-2019,2.09E-05
Basavanapura,53,01-10-2019,-1.24E-05
Hudi,54,01-10-2019,-1.41E-05
Devasandra,55,01-10-2019,1.04E-05
A Narayanapura,56,01-10-2019,1.2E-05
Vijnana Nagar,81,01-10-2019,4.49E-05
HAL Airport,87,01-10-2019,6.57E-05
Dodda Bommasandra,10,01-10-2019,6.19E-06
Kuvempu Nagar,11,01-10-2019,-1.41E-05
Jakkuru,5,01-10-2019,-2.09E-06
Thanisandra,6,01-10-2019,3.97E-05
Byatarayanapura,7,01-10-2019,4.39E-05
Kodigehalli,8,01-10-2019,1.43E-05
Vidyaranyapura,9,01-10-2019,-2.41E-05
Ullalu,130,01-10-2019,6.32E-05
Kengeri,159,01-10-2019,3.97E-05
Dodda Bidarakallu,40,01-10-2019,-2.42E-05
Herohalli,72,01-10-2019,5.58E-06
Jalahalli,16,01-10-2019,-6.12E-06
Rajarajeshwari Nagar,160,01-10-2019,1.22E-05
J P Park,17,01-10-2019,-1.11E-05
Yeshwanthpura,37,01-10-2019,2.27E-06
HMT Ward,38,01-10-2019,-2.5E-05
Lakshmi Devi Nagar,42,01-10-2019,6.76E-06
Laggere,69,01-10-2019,2.08E-05
Kottegepalya,73,01-10-2019,1.68E-05
Shettihalli,12,01-10-2019,-2.56E-05
Mallasandra,13,01-10-2019,-8.16E-06
Bagalakunte,14,01-10-2019,1.62E-05
T Dasarahalli,15,01-10-2019,5.92E-06
Chokkasandra,39,01-10-2019,4.45E-06
Peenya Industrial Area,41,01-10-2019,-2.75E-05
Rajagopal Nagar,70,01-10-2019,-1.61E-05
Hegganahalli,71,01-10-2019,-2.51E-05
Vrisabhavathi Nagar,102,01-10-2019,2.63E-05
Nandini Layout,43,01-10-2019,2.5E-05
Marappana Palya,44,01-10-2019,2.15E-05
Nagapura,67,01-10-2019,5.85E-05
Mahalakshimpuram,68,01-10-2019,3.82E-05
Shakthi Ganapathi Nagar,74,01-10-2019,2.87E-05
Shankar Matt,75,01-10-2019,3.41E-05
Aramane Nagara,35,01-10-2019,2.05E-05
Mattikere,36,01-10-2019,8.08E-07
Malleswaram,45,01-10-2019,2.07E-05
Rajamahal Guttahalli,64,01-10-2019,4.44E-05
Kadu Malleshwar Ward,65,01-10-2019,4.85E-05
Subramanya Nagar,66,01-10-2019,4.93E-05
Gayithri Nagar,76,01-10-2019,6.09E-05
Radhakrishna Temple Ward,18,01-10-2019,4.04E-07
Sanjaya Nagar,19,01-10-2019,4.66E-06
Ganga Nagar,20,01-10-2019,1.53E-05
Hebbala,21,01-10-2019,2.41E-05
Vishwanath Nagenahalli,22,01-10-2019,3.87E-05
Manorayanapalya,33,01-10-2019,2.54E-05
Gangenahalli,34,01-10-2019,1.54E-05
Jayachamarajendra Nagar,46,01-10-2019,2.85E-05
Kushal Nagar,31,01-10-2019,5.1E-05
Kaval Bairasandra,32,01-10-2019,4.93E-05
Devara Jeevanahalli,47,01-10-2019,3.72E-05
Muneshwara Nagar,48,01-10-2019,4.79E-05
Sagayarapuram,60,01-10-2019,2.11E-05
S K Garden,61,01-10-2019,-4.99E-06
Pulikeshinagar,78,01-10-2019,-1.62E-05
Nagavara,23,01-10-2019,5.08E-05
Pattabhiram Nagar,168,01-10-2019,6.24E-05
Byrasandra,169,01-10-2019,5.56E-05
Shakambari Nagar,179,01-10-2019,7.13E-05
Varthuru,149,01-10-2019,3.26E-05
Bellanduru,150,01-10-2019,2.93E-05
Garudachar Playa,82,01-10-2019,2.21E-06
Kadugodi,83,01-10-2019,-9.66E-05
Hagadur,84,01-10-2019,-2.5E-05
Dodda Nekkundi,85,01-10-2019,2.3E-05
HSR Layout,174,01-10-2019,5.74E-05
Bommanahalli,175,01-10-2019,2.26E-05
Jaraganahalli,186,01-10-2019,6.59E-05
Puttenahalli,187,01-10-2019,3.14E-05
Bilekhalli,188,01-10-2019,5.55E-06
Hongasandra,189,01-10-2019,2.44E-05
Mangammanapalya,190,01-10-2019,2.6E-05
Singasandra,191,01-10-2019,1.31E-05
Arakere,193,01-10-2019,-3.77E-05
Uttarahalli,184,01-10-2019,6.31E-05
Yelchenahalli,185,01-10-2019,7.88E-05
Begur,192,01-10-2019,-1.45E-05
Gottigere,194,01-10-2019,2.96E-05
Konankunte,195,01-10-2019,5.93E-05
Anjanapura,196,01-10-2019,3.02E-05
Kempegowda Ward,1,01-10-2019,-2.77E-05
K R Puram,52,01-10-2019,-1.26E-05
Jnana Bharathi ward,129,01-10-2019,3.21E-05
Jayanagar East,170,01-10-2019,8.13E-05
Gurappanapalya,171,01-10-2019,7.62E-05
Chikkalsandra,183,01-10-2019,4.72E-05
Vasanthpura,197,01-10-2019,9.78E-05
J P Nagar,177,01-10-2019,5.95E-05
Madivala,172,01-10-2019,5.59E-05
Ramamurthy Nagar,26,01-10-2019,1.64E-05
Horamavu,25,01-10-2019,2.31E-05
Marathahalli,86,01-10-2019,2.45E-05
Hemmigepura,198,01-10-2019,-8.56E-06
HBR Layout,24,01-10-2019,4.55E-05
Banasavadi,27,01-10-2019,4.2E-05
Kammanahalli,28,01-10-2019,6.21E-05
Kacharkanahalli,29,01-10-2019,5.79E-05
Kadugondanahalli,30,01-10-2019,6.01E-05
Lingarajapura,49,01-10-2019,5.99E-05
Maruthi Seva Nagar,59,01-10-2019,2.22E-05
Konena Agrahara,113,01-10-2019,5.89E-05
Benniganahalli,50,01-10-2019,1.43E-06
C V Raman Nagar,57,01-10-2019,3.03E-05
New Tippasandara,58,01-10-2019,2.71E-05
Sarvagna Nagar,79,01-10-2019,7.66E-06
Hoysala Nagar,80,01-10-2019,1.81E-05
Jeevanbhima Nagar,88,01-10-2019,2.89E-05
Sampangiram Nagar,110,01-10-2019,1.21E-05
Ramaswamy Palya,62,01-10-2019,7.26E-07
Jayamahal,63,01-10-2019,-1.53E-05
Halsoor,90,01-10-2019,-1.21E-05
Bharathi Nagar,91,01-10-2019,-2.06E-05
Shivaji Nagar,92,01-10-2019,-2.29E-05
Vasanth Nagar,93,01-10-2019,3.09E-05
Shantala Nagar,111,01-10-2019,-8.95E-06
Domlur,112,01-10-2019,1.05E-05
Agaram,114,01-10-2019,3.12E-05
Vannarpet,115,01-10-2019,2.33E-05
Nilasandra,116,01-10-2019,3.09E-05
Shanthi Nagar,117,01-10-2019,2.63E-05
Jogupalya,89,01-10-2019,9.28E-06
Chickpete,109,01-10-2019,4.04E-06
Cottonpete,120,01-10-2019,1.38E-05
Binnipete,121,01-10-2019,2.64E-05
Dattatreya Temple,77,01-10-2019,4.04E-05
Gandhinagar,94,01-10-2019,4.85E-05
Subhash Nagar,95,01-10-2019,4.71E-05
Okalipuram,96,01-10-2019,5.67E-05
Basaveshwara Nagar,100,01-10-2019,5.51E-05
Kamakshipalya,101,01-10-2019,4.46E-05
Shivanagara,107,01-10-2019,6.28E-05
Sriramamandir,108,01-10-2019,5.14E-05
Dayananda Nagar,97,01-10-2019,5.75E-05
Prakash Nagar,98,01-10-2019,5.79E-05
Rajaji Nagar,99,01-10-2019,5.99E-05
Kaveripura,103,01-10-2019,2.11E-05
Govindaraja Nagar,104,01-10-2019,2.99E-05
Agrahara Dasarahalli,105,01-10-2019,3.29E-05
Dr. Raj Kumar Ward,106,01-10-2019,3.59E-05
Marenahalli,125,01-10-2019,4.87E-06
Maruthi Mandir ward,126,01-10-2019,8.92E-07
Mudalapalya,127,01-10-2019,1.97E-05
Nagarabhavi,128,01-10-2019,1.71E-05
Nayandahalli,131,01-10-2019,1.1E-05
Kempapura Agrahara,122,01-10-2019,3.27E-06
Vijayanagar,123,01-10-2019,-1.8E-05
Hosahalli,124,01-10-2019,-1.57E-05
Attiguppe,132,01-10-2019,-3.04E-05
Hampi Nagar,133,01-10-2019,-5.08E-05
Bapuji Nagar,134,01-10-2019,-6.61E-05
Gali Anjenaya Temple ward,157,01-10-2019,-6.54E-05
Deepanjali Nagar,158,01-10-2019,-3.45E-05
Padarayanapura,135,01-10-2019,-3.88E-05
Jagajivanaramnagar,136,01-10-2019,-3.34E-05
Rayapuram,137,01-10-2019,1.44E-06
Chalavadipalya,138,01-10-2019,-8.53E-06
K R Market,139,01-10-2019,-1.83E-05
Chamrajapet,140,01-10-2019,-2.87E-05
Azad Nagar,141,01-10-2019,-3.89E-05
Sudham Nagara,118,01-10-2019,-8.62E-06
Dharmaraya Swamy Temple,119,01-10-2019,-1.9E-05
Sunkenahalli,142,01-10-2019,-1.43E-05
Vishveshwara Puram,143,01-10-2019,1.34E-05
Siddapura,144,01-10-2019,6.95E-05
Hombegowda Nagara,145,01-10-2019,4.21E-05
Jayanagar,153,01-10-2019,5.94E-05
Hanumanth Nagar,155,01-10-2019,-3.18E-05
Srinagar,156,01-10-2019,-3.31E-05
Basavanagudi,154,01-10-2019,3.06E-05
Girinagar,162,01-10-2019,-1.58E-05
Katriguppe,163,01-10-2019,1.14E-05
Vidyapeeta ward,164,01-10-2019,1.71E-05
Hosakerehalli,161,01-10-2019,1.8E-05
Ganesh Mandir ward,165,01-10-2019,3.83E-05
Karisandra,166,01-10-2019,4.33E-05
Yediyur,167,01-10-2019,3.88E-05
Banashankari Temple ward,180,01-10-2019,6.66E-05
Kumaraswamy Layout,181,01-10-2019,8.62E-05
Padmanabha Nagar,182,01-10-2019,8.49E-05
Lakkasandra,146,01-10-2019,6.47E-05
Adugodi,147,01-10-2019,4.57E-05
Ejipura,148,01-10-2019,3.75E-05
Koramangala,151,01-10-2019,4.97E-05
Suddagunte Palya,152,01-10-2019,5.69E-05
Sarakki,178,01-10-2019,6.41E-05
Jakkasandra,173,01-10-2019,5.68E-05
BTM Layout,176,01-10-2019,5.19E-05
Chowdeswari Ward,2,01-01-2020,-2.84E-05
Atturu,3,01-01-2020,1.37E-05
Yelahanka Satellite Town,4,01-01-2020,-1.13E-05
Vijnanapura,51,01-01-2020,2.2E-05
Basavanapura,53,01-01-2020,-1.17E-05
Hudi,54,01-01-2020,2.01E-06
Devasandra,55,01-01-2020,1.17E-05
A Narayanapura,56,01-01-2020,3.32E-05
Vijnana Nagar,81,01-01-2020,5.73E-05
HAL Airport,87,01-01-2020,5.08E-05
Dodda Bommasandra,10,01-01-2020,4.66E-05
Kuvempu Nagar,11,01-01-2020,2.47E-05
Jakkuru,5,01-01-2020,3.21E-05
Thanisandra,6,01-01-2020,2.14E-05
Byatarayanapura,7,01-01-2020,3.26E-05
Kodigehalli,8,01-01-2020,3.56E-05
Vidyaranyapura,9,01-01-2020,5.96E-06
Ullalu,130,01-01-2020,2.59E-05
Kengeri,159,01-01-2020,-5.47E-06
Dodda Bidarakallu,40,01-01-2020,-7.34E-06
Herohalli,72,01-01-2020,3.02E-06
Jalahalli,16,01-01-2020,5.47E-05
Rajarajeshwari Nagar,160,01-01-2020,6.12E-05
J P Park,17,01-01-2020,7E-05
Yeshwanthpura,37,01-01-2020,5.98E-05
HMT Ward,38,01-01-2020,5.69E-05
Lakshmi Devi Nagar,42,01-01-2020,4.33E-05
Laggere,69,01-01-2020,2.92E-05
Kottegepalya,73,01-01-2020,9.97E-06
Shettihalli,12,01-01-2020,-4.16E-06
Mallasandra,13,01-01-2020,1.24E-05
Bagalakunte,14,01-01-2020,-1.62E-05
T Dasarahalli,15,01-01-2020,3.46E-05
Chokkasandra,39,01-01-2020,2.45E-05
Peenya Industrial Area,41,01-01-2020,1.95E-05
Rajagopal Nagar,70,01-01-2020,2.24E-05
Hegganahalli,71,01-01-2020,1.75E-05
Vrisabhavathi Nagar,102,01-01-2020,1.25E-05
Nandini Layout,43,01-01-2020,3.07E-05
Marappana Palya,44,01-01-2020,3.7E-05
Nagapura,67,01-01-2020,4.96E-06
Mahalakshimpuram,68,01-01-2020,1.78E-05
Shakthi Ganapathi Nagar,74,01-01-2020,1.77E-05
Shankar Matt,75,01-01-2020,1.31E-05
Aramane Nagara,35,01-01-2020,5.35E-07
Mattikere,36,01-01-2020,7.31E-05
Malleswaram,45,01-01-2020,1.26E-05
Rajamahal Guttahalli,64,01-01-2020,-3.45E-05
Kadu Malleshwar Ward,65,01-01-2020,-2.52E-05
Subramanya Nagar,66,01-01-2020,-6.3E-07
Gayithri Nagar,76,01-01-2020,-1.09E-05
Radhakrishna Temple Ward,18,01-01-2020,3.41E-05
Sanjaya Nagar,19,01-01-2020,2.6E-05
Ganga Nagar,20,01-01-2020,4.1E-06
Hebbala,21,01-01-2020,-1.02E-05
Vishwanath Nagenahalli,22,01-01-2020,-1.97E-05
Manorayanapalya,33,01-01-2020,-2.77E-05
Gangenahalli,34,01-01-2020,-1.83E-05
Jayachamarajendra Nagar,46,01-01-2020,-2.64E-05
Kushal Nagar,31,01-01-2020,-2.2E-05
Kaval Bairasandra,32,01-01-2020,-1.94E-05
Devara Jeevanahalli,47,01-01-2020,-2.09E-05
Muneshwara Nagar,48,01-01-2020,-2.06E-05
Sagayarapuram,60,01-01-2020,-1.87E-05
S K Garden,61,01-01-2020,-3.67E-05
Pulikeshinagar,78,01-01-2020,-2.31E-05
