WARD_NAME,WARD_NO,date,mean
Nagavara,23,01-01-2020,-2.36E-05
Pattabhiram Nagar,168,01-01-2020,0.000121
Byrasandra,169,01-01-2020,0.000111
Shakambari Nagar,179,01-01-2020,0.000141
Varthuru,149,01-01-2020,7.16E-05
Bellanduru,150,01-01-2020,2.72E-05
Garudachar Playa,82,01-01-2020,4.07E-05
Kadugodi,83,01-01-2020,-1.34E-05
Hagadur,84,01-01-2020,4.26E-05
Dodda Nekkundi,85,01-01-2020,4.35E-05
HSR Layout,174,01-01-2020,1.76E-05
Bommanahalli,175,01-01-2020,-2.28E-05
Jaraganahalli,186,01-01-2020,0.000112
Puttenahalli,187,01-01-2020,9.23E-05
Bilekhalli,188,01-01-2020,-1.73E-05
Hongasandra,189,01-01-2020,-3.05E-05
Mangammanapalya,190,01-01-2020,-1.6E-05
Singasandra,191,01-01-2020,-1.55E-05
Arakere,193,01-01-2020,7.37E-05
Uttarahalli,184,01-01-2020,0.000111
Yelchenahalli,185,01-01-2020,9.37E-05
Begur,192,01-01-2020,5.54E-05
Gottigere,194,01-01-2020,0.000124
Konankunte,195,01-01-2020,0.000111
Anjanapura,196,01-01-2020,0.000132
Kempegowda Ward,1,01-01-2020,-2E-05
K R Puram,52,01-01-2020,-3.09E-05
Jnana Bharathi ward,129,01-01-2020,-8.97E-06
Jayanagar East,170,01-01-2020,5.48E-05
Gurappanapalya,171,01-01-2020,4.35E-05
Chikkalsandra,183,01-01-2020,9.53E-05
Vasanthpura,197,01-01-2020,0.000111
J P Nagar,177,01-01-2020,7.17E-05
Madivala,172,01-01-2020,2.72E-05
Ramamurthy Nagar,26,01-01-2020,-1.96E-05
Horamavu,25,01-01-2020,2.45E-05
Marathahalli,86,01-01-2020,3.22E-05
Hemmigepura,198,01-01-2020,3.2E-05
HBR Layout,24,01-01-2020,-2.18E-06
Banasavadi,27,01-01-2020,4.15E-05
Kammanahalli,28,01-01-2020,2.76E-05
Kacharkanahalli,29,01-01-2020,1.58E-05
Kadugondanahalli,30,01-01-2020,-1.74E-05
Lingarajapura,49,01-01-2020,1.98E-07
Maruthi Seva Nagar,59,01-01-2020,1.3E-05
Konena Agrahara,113,01-01-2020,5.35E-05
Benniganahalli,50,01-01-2020,3.83E-05
C V Raman Nagar,57,01-01-2020,6.62E-05
New Tippasandara,58,01-01-2020,6.87E-05
Sarvagna Nagar,79,01-01-2020,4.53E-05
Hoysala Nagar,80,01-01-2020,7.25E-05
Jeevanbhima Nagar,88,01-01-2020,5.41E-05
Sampangiram Nagar,110,01-01-2020,4.82E-06
Ramaswamy Palya,62,01-01-2020,-4.15E-05
Jayamahal,63,01-01-2020,-3.42E-05
Halsoor,90,01-01-2020,3.07E-05
Bharathi Nagar,91,01-01-2020,-1.01E-05
Shivaji Nagar,92,01-01-2020,-1.88E-05
Vasanth Nagar,93,01-01-2020,-1.8E-05
Shantala Nagar,111,01-01-2020,2.59E-05
Domlur,112,01-01-2020,7.3E-05
Agaram,114,01-01-2020,4.55E-05
Vannarpet,115,01-01-2020,5.09E-05
Nilasandra,116,01-01-2020,5.2E-05
Shanthi Nagar,117,01-01-2020,3.67E-05
Jogupalya,89,01-01-2020,5.72E-05
Chickpete,109,01-01-2020,-7.47E-06
Cottonpete,120,01-01-2020,1.45E-05
Binnipete,121,01-01-2020,1.97E-05
Dattatreya Temple,77,01-01-2020,-4.26E-05
Gandhinagar,94,01-01-2020,-1.97E-05
Subhash Nagar,95,01-01-2020,-4.53E-06
Okalipuram,96,01-01-2020,8.74E-06
Basaveshwara Nagar,100,01-01-2020,-2.34E-06
Kamakshipalya,101,01-01-2020,-2.26E-07
Shivanagara,107,01-01-2020,-2.27E-06
Sriramamandir,108,01-01-2020,9.36E-06
Dayananda Nagar,97,01-01-2020,-7.56E-06
Prakash Nagar,98,01-01-2020,-4.48E-06
Rajaji Nagar,99,01-01-2020,-1.01E-05
Kaveripura,103,01-01-2020,1.06E-05
Govindaraja Nagar,104,01-01-2020,1.52E-05
Agrahara Dasarahalli,105,01-01-2020,9.25E-06
Dr. Raj Kumar Ward,106,01-01-2020,1.02E-05
Marenahalli,125,01-01-2020,2.51E-06
Maruthi Mandir ward,126,01-01-2020,3.29E-06
Mudalapalya,127,01-01-2020,4.14E-06
Nagarabhavi,128,01-01-2020,-1.48E-05
Nayandahalli,131,01-01-2020,-1.32E-05
Kempapura Agrahara,122,01-01-2020,1.14E-05
Vijayanagar,123,01-01-2020,2.43E-07
Hosahalli,124,01-01-2020,1.41E-05
Attiguppe,132,01-01-2020,-1.06E-05
Hampi Nagar,133,01-01-2020,6.39E-06
Bapuji Nagar,134,01-01-2020,1.52E-05
Gali Anjenaya Temple ward,157,01-01-2020,1.94E-05
Deepanjali Nagar,158,01-01-2020,5.79E-06
Padarayanapura,135,01-01-2020,1.44E-05
Jagajivanaramnagar,136,01-01-2020,2.24E-05
Rayapuram,137,01-01-2020,2.35E-05
Chalavadipalya,138,01-01-2020,1.84E-05
K R Market,139,01-01-2020,8.26E-06
Chamrajapet,140,01-01-2020,2.02E-05
Azad Nagar,141,01-01-2020,3.1E-05
Sudham Nagara,118,01-01-2020,2.96E-06
Dharmaraya Swamy Temple,119,01-01-2020,-5.8E-07
Sunkenahalli,142,01-01-2020,2.8E-05
Vishveshwara Puram,143,01-01-2020,1.96E-05
Siddapura,144,01-01-2020,3.59E-05
Hombegowda Nagara,145,01-01-2020,3.75E-05
Jayanagar,153,01-01-2020,4.49E-05
Hanumanth Nagar,155,01-01-2020,4.03E-05
Srinagar,156,01-01-2020,3.46E-05
Basavanagudi,154,01-01-2020,6.72E-05
Girinagar,162,01-01-2020,1.31E-05
Katriguppe,163,01-01-2020,2.29E-05
Vidyapeeta ward,164,01-01-2020,3.84E-05
Hosakerehalli,161,01-01-2020,4.13E-05
Ganesh Mandir ward,165,01-01-2020,0.000109
Karisandra,166,01-01-2020,0.000125
Yediyur,167,01-01-2020,0.000105
Banashankari Temple ward,180,01-01-2020,0.000119
Kumaraswamy Layout,181,01-01-2020,0.000101
Padmanabha Nagar,182,01-01-2020,0.000101
Lakkasandra,146,01-01-2020,5.58E-05
Adugodi,147,01-01-2020,5.41E-05
Ejipura,148,01-01-2020,5.02E-05
Koramangala,151,01-01-2020,3.43E-05
Suddagunte Palya,152,01-01-2020,4.61E-05
Sarakki,178,01-01-2020,0.000117
Jakkasandra,173,01-01-2020,1.94E-05
BTM Layout,176,01-01-2020,1.78E-05
Chowdeswari Ward,2,01-04-2020,-4.4E-05
Atturu,3,01-04-2020,3.61E-05
Yelahanka Satellite Town,4,01-04-2020,1.32E-05
Vijnanapura,51,01-04-2020,1.6E-05
Basavanapura,53,01-04-2020,1.14E-05
Hudi,54,01-04-2020,7.34E-06
Devasandra,55,01-04-2020,8.17E-06
A Narayanapura,56,01-04-2020,1.53E-05
Vijnana Nagar,81,01-04-2020,2.64E-05
HAL Airport,87,01-04-2020,1.8E-05
Dodda Bommasandra,10,01-04-2020,2.27E-05
Kuvempu Nagar,11,01-04-2020,7.2E-06
Jakkuru,5,01-04-2020,4.14E-06
Thanisandra,6,01-04-2020,1.94E-05
Byatarayanapura,7,01-04-2020,5E-05
Kodigehalli,8,01-04-2020,5.07E-05
Vidyaranyapura,9,01-04-2020,3.57E-05
Ullalu,130,01-04-2020,6.33E-06
Kengeri,159,01-04-2020,-6.37E-06
Dodda Bidarakallu,40,01-04-2020,1.18E-05
Herohalli,72,01-04-2020,2.76E-05
Jalahalli,16,01-04-2020,-9.86E-06
Rajarajeshwari Nagar,160,01-04-2020,7.35E-05
J P Park,17,01-04-2020,3.33E-05
Yeshwanthpura,37,01-04-2020,5.28E-05
HMT Ward,38,01-04-2020,1.65E-05
Lakshmi Devi Nagar,42,01-04-2020,9.57E-06
Laggere,69,01-04-2020,-2.94E-06
Kottegepalya,73,01-04-2020,-1.71E-05
Shettihalli,12,01-04-2020,2.35E-05
Mallasandra,13,01-04-2020,4.07E-06
Bagalakunte,14,01-04-2020,1E-05
T Dasarahalli,15,01-04-2020,-5.38E-06
Chokkasandra,39,01-04-2020,1.56E-05
Peenya Industrial Area,41,01-04-2020,2.69E-05
Rajagopal Nagar,70,01-04-2020,1.7E-05
Hegganahalli,71,01-04-2020,2.11E-05
Vrisabhavathi Nagar,102,01-04-2020,-2.23E-05
Nandini Layout,43,01-04-2020,-1.08E-06
Marappana Palya,44,01-04-2020,2.32E-05
Nagapura,67,01-04-2020,1.71E-05
Mahalakshimpuram,68,01-04-2020,9.86E-06
Shakthi Ganapathi Nagar,74,01-04-2020,-1.26E-05
Shankar Matt,75,01-04-2020,-3.01E-06
Aramane Nagara,35,01-04-2020,4.11E-05
Mattikere,36,01-04-2020,5.56E-05
Malleswaram,45,01-04-2020,6.24E-05
Rajamahal Guttahalli,64,01-04-2020,2.78E-06
Kadu Malleshwar Ward,65,01-04-2020,3.76E-05
Subramanya Nagar,66,01-04-2020,3.45E-05
Gayithri Nagar,76,01-04-2020,2.83E-05
Radhakrishna Temple Ward,18,01-04-2020,5.32E-05
Sanjaya Nagar,19,01-04-2020,4.24E-05
Ganga Nagar,20,01-04-2020,3.67E-05
Hebbala,21,01-04-2020,4.03E-05
Vishwanath Nagenahalli,22,01-04-2020,3.69E-05
Manorayanapalya,33,01-04-2020,2.84E-05
Gangenahalli,34,01-04-2020,3.21E-05
Jayachamarajendra Nagar,46,01-04-2020,1.8E-05
Kushal Nagar,31,01-04-2020,1.74E-05
Kaval Bairasandra,32,01-04-2020,2.1E-05
Devara Jeevanahalli,47,01-04-2020,2.03E-05
Muneshwara Nagar,48,01-04-2020,1.41E-05
Sagayarapuram,60,01-04-2020,9.71E-06
S K Garden,61,01-04-2020,9.22E-07
Pulikeshinagar,78,01-04-2020,-2.8E-05
Nagavara,23,01-04-2020,2.85E-05
Pattabhiram Nagar,168,01-04-2020,5.53E-05
Byrasandra,169,01-04-2020,4.69E-05
Shakambari Nagar,179,01-04-2020,9.94E-05
Varthuru,149,01-04-2020,4.62E-05
Bellanduru,150,01-04-2020,1.62E-05
Garudachar Playa,82,01-04-2020,3.21E-05
Kadugodi,83,01-04-2020,2.67E-05
Hagadur,84,01-04-2020,5.57E-05
Dodda Nekkundi,85,01-04-2020,4.07E-05
HSR Layout,174,01-04-2020,-1.56E-05
Bommanahalli,175,01-04-2020,-7.49E-05
Jaraganahalli,186,01-04-2020,8.69E-05
Puttenahalli,187,01-04-2020,3.69E-05
Bilekhalli,188,01-04-2020,-8.67E-05
Hongasandra,189,01-04-2020,-8.98E-05
Mangammanapalya,190,01-04-2020,-4.62E-05
Singasandra,191,01-04-2020,-4.25E-05
Arakere,193,01-04-2020,3.6E-05
Uttarahalli,184,01-04-2020,0.000124
Yelchenahalli,185,01-04-2020,0.000103
Begur,192,01-04-2020,5.24E-05
Gottigere,194,01-04-2020,9.25E-05
Konankunte,195,01-04-2020,7.94E-05
Anjanapura,196,01-04-2020,0.00011
Kempegowda Ward,1,01-04-2020,-4.4E-05
K R Puram,52,01-04-2020,1.12E-05
Jnana Bharathi ward,129,01-04-2020,-1.48E-05
Jayanagar East,170,01-04-2020,-4.7E-05
Gurappanapalya,171,01-04-2020,-5.15E-05
Chikkalsandra,183,01-04-2020,0.000131
Vasanthpura,197,01-04-2020,0.000117
J P Nagar,177,01-04-2020,-2.41E-05
Madivala,172,01-04-2020,-3.72E-05
Ramamurthy Nagar,26,01-04-2020,-8.23E-06
Horamavu,25,01-04-2020,-2.79E-07
Marathahalli,86,01-04-2020,3.83E-05
Hemmigepura,198,01-04-2020,5.36E-05
HBR Layout,24,01-04-2020,2.18E-05
Banasavadi,27,01-04-2020,1.1E-05
Kammanahalli,28,01-04-2020,-6.39E-07
Kacharkanahalli,29,01-04-2020,1.58E-05
Kadugondanahalli,30,01-04-2020,1.45E-05
Lingarajapura,49,01-04-2020,2.6E-06
Maruthi Seva Nagar,59,01-04-2020,-6.57E-06
Konena Agrahara,113,01-04-2020,-8.63E-06
Benniganahalli,50,01-04-2020,-1.71E-06
C V Raman Nagar,57,01-04-2020,1.27E-05
New Tippasandara,58,01-04-2020,-1.72E-06
Sarvagna Nagar,79,01-04-2020,-1.94E-05
Hoysala Nagar,80,01-04-2020,-1.13E-05
Jeevanbhima Nagar,88,01-04-2020,-2.73E-06
Sampangiram Nagar,110,01-04-2020,-6.08E-05
Ramaswamy Palya,62,01-04-2020,1.16E-06
Jayamahal,63,01-04-2020,-2.58E-05
Halsoor,90,01-04-2020,-1.76E-05
Bharathi Nagar,91,01-04-2020,-4.19E-05
Shivaji Nagar,92,01-04-2020,-4.41E-05
Vasanth Nagar,93,01-04-2020,-3.85E-05
Shantala Nagar,111,01-04-2020,-3.9E-05
Domlur,112,01-04-2020,2.97E-05
Agaram,114,01-04-2020,1.31E-05
Vannarpet,115,01-04-2020,1.15E-06
Nilasandra,116,01-04-2020,-5.04E-06
Shanthi Nagar,117,01-04-2020,-4.97E-05
Jogupalya,89,01-04-2020,8.73E-07
Chickpete,109,01-04-2020,-5.75E-05
Cottonpete,120,01-04-2020,-2.82E-05
Binnipete,121,01-04-2020,-2.1E-05
Dattatreya Temple,77,01-04-2020,2.83E-07
Gandhinagar,94,01-04-2020,-2.89E-05
Subhash Nagar,95,01-04-2020,-6.88E-06
Okalipuram,96,01-04-2020,1.35E-06
Basaveshwara Nagar,100,01-04-2020,5.78E-06
Kamakshipalya,101,01-04-2020,-1.4E-05
Shivanagara,107,01-04-2020,6.22E-06
Sriramamandir,108,01-04-2020,4.73E-08
Dayananda Nagar,97,01-04-2020,1.71E-05
Prakash Nagar,98,01-04-2020,2.04E-05
Rajaji Nagar,99,01-04-2020,1.6E-05
Kaveripura,103,01-04-2020,-2.38E-05
Govindaraja Nagar,104,01-04-2020,-1.03E-05
Agrahara Dasarahalli,105,01-04-2020,-1.27E-07
Dr. Raj Kumar Ward,106,01-04-2020,-1.78E-06
Marenahalli,125,01-04-2020,-3.09E-05
Maruthi Mandir ward,126,01-04-2020,-4.13E-05
Mudalapalya,127,01-04-2020,-3.94E-05
Nagarabhavi,128,01-04-2020,-3.87E-05
Nayandahalli,131,01-04-2020,-3.23E-05
Kempapura Agrahara,122,01-04-2020,-1.16E-05
Vijayanagar,123,01-04-2020,-1.35E-05
Hosahalli,124,01-04-2020,-1.86E-05
Attiguppe,132,01-04-2020,-2.88E-05
Hampi Nagar,133,01-04-2020,-3.08E-05
Bapuji Nagar,134,01-04-2020,-1.22E-05
Gali Anjenaya Temple ward,157,01-04-2020,-8.01E-06
Deepanjali Nagar,158,01-04-2020,-1.22E-05
Padarayanapura,135,01-04-2020,-1.69E-05
Jagajivanaramnagar,136,01-04-2020,-1.55E-05
Rayapuram,137,01-04-2020,-2.98E-05
Chalavadipalya,138,01-04-2020,-4.12E-05
K R Market,139,01-04-2020,-4.51E-05
Chamrajapet,140,01-04-2020,-3.03E-05
Azad Nagar,141,01-04-2020,-1.81E-05
Sudham Nagara,118,01-04-2020,-8.22E-05
Dharmaraya Swamy Temple,119,01-04-2020,-6.83E-05
Sunkenahalli,142,01-04-2020,-4.11E-05
Vishveshwara Puram,143,01-04-2020,-6.12E-05
Siddapura,144,01-04-2020,-6.57E-05
Hombegowda Nagara,145,01-04-2020,-7.7E-05
Jayanagar,153,01-04-2020,-3.68E-05
Hanumanth Nagar,155,01-04-2020,-2.7E-05
Srinagar,156,01-04-2020,-1.05E-05
Basavanagudi,154,01-04-2020,3E-05
Girinagar,162,01-04-2020,-3.83E-06
Katriguppe,163,01-04-2020,2.95E-05
Vidyapeeta ward,164,01-04-2020,2.27E-05
Hosakerehalli,161,01-04-2020,7.01E-05
Ganesh Mandir ward,165,01-04-2020,0.000112
Karisandra,166,01-04-2020,0.000107
Yediyur,167,01-04-2020,7.96E-05
Banashankari Temple ward,180,01-04-2020,0.000112
Kumaraswamy Layout,181,01-04-2020,0.000116
Padmanabha Nagar,182,01-04-2020,0.000124
Lakkasandra,146,01-04-2020,-2.81E-05
Adugodi,147,01-04-2020,-8.98E-06
Ejipura,148,01-04-2020,1.12E-05
Koramangala,151,01-04-2020,-7.19E-06
Suddagunte Palya,152,01-04-2020,-3.69E-05
Sarakki,178,01-04-2020,7.47E-05
Jakkasandra,173,01-04-2020,-2.3E-05
BTM Layout,176,01-04-2020,-6.06E-05
Chowdeswari Ward,2,01-07-2020,1.4E-05
Atturu,3,01-07-2020,5.41E-05
Yelahanka Satellite Town,4,01-07-2020,1.36E-05
Vijnanapura,51,01-07-2020,1.82E-05
Basavanapura,53,01-07-2020,-4.09E-05
Hudi,54,01-07-2020,-2.81E-05
Devasandra,55,01-07-2020,3.04E-05
A Narayanapura,56,01-07-2020,2.85E-05
Vijnana Nagar,81,01-07-2020,3.08E-05
HAL Airport,87,01-07-2020,2.21E-06
Dodda Bommasandra,10,01-07-2020,-5.38E-06
Kuvempu Nagar,11,01-07-2020,3.94E-05
Jakkuru,5,01-07-2020,1.33E-05
Thanisandra,6,01-07-2020,2.11E-05
Byatarayanapura,7,01-07-2020,2.26E-05
Kodigehalli,8,01-07-2020,-2.78E-06
Vidyaranyapura,9,01-07-2020,4.52E-05
Ullalu,130,01-07-2020,5.45E-05
Kengeri,159,01-07-2020,5.5E-05
Dodda Bidarakallu,40,01-07-2020,-4.31E-05
Herohalli,72,01-07-2020,-2.74E-05
Jalahalli,16,01-07-2020,-6.35E-05
Rajarajeshwari Nagar,160,01-07-2020,-3.86E-06
J P Park,17,01-07-2020,-8.68E-05
Yeshwanthpura,37,01-07-2020,-8.34E-05
HMT Ward,38,01-07-2020,-5.4E-05
Lakshmi Devi Nagar,42,01-07-2020,-4.53E-05
Laggere,69,01-07-2020,-1.95E-05
Kottegepalya,73,01-07-2020,-9.03E-05
Shettihalli,12,01-07-2020,2.11E-05
Mallasandra,13,01-07-2020,-6.18E-06
Bagalakunte,14,01-07-2020,-5.35E-05
T Dasarahalli,15,01-07-2020,-3.06E-05
Chokkasandra,39,01-07-2020,-3.4E-05
Peenya Industrial Area,41,01-07-2020,-2.49E-05
Rajagopal Nagar,70,01-07-2020,-2.74E-05
Hegganahalli,71,01-07-2020,-6.64E-05
Vrisabhavathi Nagar,102,01-07-2020,-3.62E-05
Nandini Layout,43,01-07-2020,-4.31E-05
Marappana Palya,44,01-07-2020,-7.31E-05
Nagapura,67,01-07-2020,-4.06E-05
Mahalakshimpuram,68,01-07-2020,-3.46E-05
Shakthi Ganapathi Nagar,74,01-07-2020,-3.47E-05
Shankar Matt,75,01-07-2020,-2.77E-05
Aramane Nagara,35,01-07-2020,-4.87E-05
Mattikere,36,01-07-2020,-6.73E-05
Malleswaram,45,01-07-2020,-7.18E-05
Rajamahal Guttahalli,64,01-07-2020,-4.13E-05
Kadu Malleshwar Ward,65,01-07-2020,-2.78E-05
Subramanya Nagar,66,01-07-2020,-6.53E-05
Gayithri Nagar,76,01-07-2020,-3.17E-05
Radhakrishna Temple Ward,18,01-07-2020,-5.42E-05
Sanjaya Nagar,19,01-07-2020,-4.12E-05
Ganga Nagar,20,01-07-2020,-3.71E-06
Hebbala,21,01-07-2020,6.21E-05
Vishwanath Nagenahalli,22,01-07-2020,7.85E-05
Manorayanapalya,33,01-07-2020,4.67E-05
Gangenahalli,34,01-07-2020,-9.36E-06
Jayachamarajendra Nagar,46,01-07-2020,2.36E-05
Kushal Nagar,31,01-07-2020,4.45E-05
Kaval Bairasandra,32,01-07-2020,5.19E-05
Devara Jeevanahalli,47,01-07-2020,4.93E-05
Muneshwara Nagar,48,01-07-2020,6.71E-05
Sagayarapuram,60,01-07-2020,0.000104
S K Garden,61,01-07-2020,6.98E-05
Pulikeshinagar,78,01-07-2020,3.87E-05
Nagavara,23,01-07-2020,5.54E-05
Pattabhiram Nagar,168,01-07-2020,-7.7E-05
Byrasandra,169,01-07-2020,-7.63E-05
Shakambari Nagar,179,01-07-2020,-3.03E-05
Varthuru,149,01-07-2020,5.64E-05
Bellanduru,150,01-07-2020,2.45E-05
Garudachar Playa,82,01-07-2020,3.89E-05
Kadugodi,83,01-07-2020,3.58E-06
Hagadur,84,01-07-2020,7.09E-05
Dodda Nekkundi,85,01-07-2020,3.92E-05
HSR Layout,174,01-07-2020,7.79E-06
Bommanahalli,175,01-07-2020,-0.000105
Jaraganahalli,186,01-07-2020,1.71E-05
Puttenahalli,187,01-07-2020,-6.16E-06
Bilekhalli,188,01-07-2020,-8.77E-05
Hongasandra,189,01-07-2020,-0.000119
Mangammanapalya,190,01-07-2020,-4.89E-05
Singasandra,191,01-07-2020,-9.59E-06
Arakere,193,01-07-2020,-3.14E-05
Uttarahalli,184,01-07-2020,-7.92E-07
Yelchenahalli,185,01-07-2020,3.87E-05
Begur,192,01-07-2020,-2.48E-05
Gottigere,194,01-07-2020,5.18E-05
Konankunte,195,01-07-2020,4.08E-05
Anjanapura,196,01-07-2020,9.59E-06
Kempegowda Ward,1,01-07-2020,-2.51E-05
K R Puram,52,01-07-2020,-2.93E-05
Jnana Bharathi ward,129,01-07-2020,-1.68E-05
Jayanagar East,170,01-07-2020,-9.89E-05
Gurappanapalya,171,01-07-2020,-8.26E-05
Chikkalsandra,183,01-07-2020,3.02E-05
Vasanthpura,197,01-07-2020,1.75E-05
J P Nagar,177,01-07-2020,-8.69E-05
Madivala,172,01-07-2020,-4.76E-05
Ramamurthy Nagar,26,01-07-2020,-5.24E-05
Horamavu,25,01-07-2020,-1.33E-05
Marathahalli,86,01-07-2020,3.13E-05
Hemmigepura,198,01-07-2020,8.91E-07
HBR Layout,24,01-07-2020,5.41E-05
Banasavadi,27,01-07-2020,7.59E-05
Kammanahalli,28,01-07-2020,0.00011
Kacharkanahalli,29,01-07-2020,5.75E-05
Kadugondanahalli,30,01-07-2020,5E-05
Lingarajapura,49,01-07-2020,9.12E-05
Maruthi Seva Nagar,59,01-07-2020,0.000104
Konena Agrahara,113,01-07-2020,-7.67E-06
Benniganahalli,50,01-07-2020,8.78E-05
C V Raman Nagar,57,01-07-2020,4.18E-05
New Tippasandara,58,01-07-2020,4.94E-05
Sarvagna Nagar,79,01-07-2020,4.89E-05
Hoysala Nagar,80,01-07-2020,5.68E-05
Jeevanbhima Nagar,88,01-07-2020,3.43E-05
Sampangiram Nagar,110,01-07-2020,-4.16E-05
Ramaswamy Palya,62,01-07-2020,5.07E-05
Jayamahal,63,01-07-2020,1.62E-05
Halsoor,90,01-07-2020,4.16E-05
Bharathi Nagar,91,01-07-2020,-2.32E-05
Shivaji Nagar,92,01-07-2020,-2.01E-05
Vasanth Nagar,93,01-07-2020,-5.11E-05
Shantala Nagar,111,01-07-2020,1.32E-05
Domlur,112,01-07-2020,5.14E-05
Agaram,114,01-07-2020,3.59E-05
Vannarpet,115,01-07-2020,1.94E-05
Nilasandra,116,01-07-2020,1.42E-05
Shanthi Nagar,117,01-07-2020,-9.05E-06
Jogupalya,89,01-07-2020,8.53E-05
Chickpete,109,01-07-2020,-8.07E-05
Cottonpete,120,01-07-2020,-6.42E-05
Binnipete,121,01-07-2020,-6.92E-05
Dattatreya Temple,77,01-07-2020,-2.89E-05
Gandhinagar,94,01-07-2020,-6.09E-05
Subhash Nagar,95,01-07-2020,-4.55E-05
Okalipuram,96,01-07-2020,-3.5E-05
Basaveshwara Nagar,100,01-07-2020,-4.95E-05
Kamakshipalya,101,01-07-2020,-5.03E-05
Shivanagara,107,01-07-2020,-3.7E-05
Sriramamandir,108,01-07-2020,-3.57E-05
Dayananda Nagar,97,01-07-2020,-1.81E-05
Prakash Nagar,98,01-07-2020,-2.73E-05
Rajaji Nagar,99,01-07-2020,-2.46E-05
Kaveripura,103,01-07-2020,-7.08E-05
Govindaraja Nagar,104,01-07-2020,-5.85E-05
Agrahara Dasarahalli,105,01-07-2020,-6.58E-05
Dr. Raj Kumar Ward,106,01-07-2020,-6.74E-05
Marenahalli,125,01-07-2020,-7.06E-05
Maruthi Mandir ward,126,01-07-2020,-9.77E-05
Mudalapalya,127,01-07-2020,-0.00011
Nagarabhavi,128,01-07-2020,-5.79E-05
Nayandahalli,131,01-07-2020,-2.62E-05
Kempapura Agrahara,122,01-07-2020,-5.93E-05
Vijayanagar,123,01-07-2020,-6.56E-05
Hosahalli,124,01-07-2020,-7.29E-05
Attiguppe,132,01-07-2020,-8.46E-05
Hampi Nagar,133,01-07-2020,-7.31E-05
Bapuji Nagar,134,01-07-2020,-8.2E-05
Gali Anjenaya Temple ward,157,01-07-2020,-7.88E-05
Deepanjali Nagar,158,01-07-2020,-7.28E-05
Padarayanapura,135,01-07-2020,-7.73E-05
Jagajivanaramnagar,136,01-07-2020,-8.59E-05
Rayapuram,137,01-07-2020,-8.69E-05
Chalavadipalya,138,01-07-2020,-6.19E-05
K R Market,139,01-07-2020,-5.69E-05
Chamrajapet,140,01-07-2020,-6.85E-05
Azad Nagar,141,01-07-2020,-9.45E-05
Sudham Nagara,118,01-07-2020,-5.72E-05
Dharmaraya Swamy Temple,119,01-07-2020,-6.02E-05
Sunkenahalli,142,01-07-2020,-6.42E-05
Vishveshwara Puram,143,01-07-2020,-7.9E-05
Siddapura,144,01-07-2020,-6.86E-05
Hombegowda Nagara,145,01-07-2020,-5.88E-05
Jayanagar,153,01-07-2020,-6.06E-05
Hanumanth Nagar,155,01-07-2020,-5.92E-05
Srinagar,156,01-07-2020,-5.4E-05
Basavanagudi,154,01-07-2020,-3.81E-05
Girinagar,162,01-07-2020,-2.76E-05
Katriguppe,163,01-07-2020,1.09E-05
Vidyapeeta ward,164,01-07-2020,-1.01E-05
Hosakerehalli,161,01-07-2020,-4.62E-06
Ganesh Mandir ward,165,01-07-2020,1.45E-05
Karisandra,166,01-07-2020,-2.44E-05
Yediyur,167,01-07-2020,-4.3E-05
Banashankari Temple ward,180,01-07-2020,1.4E-05
Kumaraswamy Layout,181,01-07-2020,3.77E-05
Padmanabha Nagar,182,01-07-2020,3.58E-05
Lakkasandra,146,01-07-2020,7.12E-07
Adugodi,147,01-07-2020,1.79E-06
Ejipura,148,01-07-2020,7.29E-06
Koramangala,151,01-07-2020,-5.45E-06
Suddagunte Palya,152,01-07-2020,-1.54E-05
Sarakki,178,01-07-2020,-1.67E-05
Jakkasandra,173,01-07-2020,-2.34E-05
BTM Layout,176,01-07-2020,-8.58E-05
